particle,,dframe,dx,dy,step_len
120,4,1,1.1037941,1.3525467,1.7457788
120,5,1,-0.7489376,-0.5690918,0.94062376
120,6,1,-0.08973503,-1.014965,1.0189241
120,7,1,-0.21404648,0.9072113,0.9321203
120,8,1,-0.609766,-0.51958084,0.801111
120,9,1,0.17258453,-0.51317596,0.54141945
120,10,1,0.44664192,0.62141037,0.76527107
120,11,1,-0.34734726,-0.24025345,0.4223409
120,12,1,0.5285797,0.63179016,0.8237447
120,13,1,0.19377136,-0.40164566,0.44594458
120,14,1,-0.09682655,0.1922226,0.21523222
120,15,1,-0.38871765,-0.23780441,0.45568886
120,16,1,0.2071991,0.9958992,1.017225
120,17,1,0.28663635,-0.873806,0.91961807
120,18,1,-0.11768913,0.46294785,0.47767293
120,19,1,0.018558502,-1.1696701,1.1698173
120,20,1,-0.63032913,0.7956581,1.0150796
120,21,1,0.16336632,-0.45941925,0.48760086
120,22,1,0.11374283,-0.11455917,0.16143493
120,23,1,0.04903412,0.49469757,0.49712175
120,24,1,-0.27071953,0.24206924,0.36316192
120,25,1,-0.018091202,-0.34148026,0.34195915
120,26,1,0.47236443,-0.39541245,0.61601883
120,27,1,-0.2657566,-0.14738083,0.3038876
123,0,1,0.06510353,-0.27471542,0.28232434
123,1,1,0.23883438,-0.25089645,0.346397
124,0,1,-0.50068665,0.6077404,0.7874234
124,1,1,0.08114052,-0.46870804,0.47567952
124,2,1,-0.08774376,-0.8530426,0.8575434
124,3,1,0.09834671,0.092033386,0.13469306
125,0,1,0.010673523,0.027309418,0.029321125
125,1,1,-0.38731956,-0.5465088,0.66984195
127,0,1,-0.10264969,0.7983074,0.8048799
127,1,1,0.3731327,-1.0878258,1.1500404
127,2,1,0.31411743,0.48344994,0.5765358
127,3,1,-0.07172966,-0.51776314,0.5227081
127,4,1,-0.5437851,-0.28516006,0.6140183
127,5,1,0.4261284,0.33970833,0.54496527
128,0,1,-0.03935051,-0.20737839,0.2110788
128,1,1,-0.43683624,-1.5236034,1.58499
128,2,1,0.06514549,0.3610077,0.3668385
128,3,1,0.10619354,0.20081139,0.22716136
128,4,1,-0.022542953,-0.12202072,0.12408562
128,5,1,-0.59067726,0.011152267,0.5907825
129,0,1,-0.030067444,-0.6870918,0.6877494
129,1,1,0.09436035,0.41944885,0.42993164
129,2,1,-0.26423264,-0.34095383,0.43135646
129,3,1,0.49067688,0.9558716,1.0744554
131,0,1,0.1330452,-0.22230911,0.25907984
131,1,1,-0.38495636,-0.25736427,0.46306345
131,2,1,-0.051151276,-0.19477081,0.20137557
131,3,1,0.32447624,0.20702744,0.38489634
131,4,1,0.20913696,0.48944092,0.5322506
133,0,1,0.09166336,-0.51737404,0.52543133
133,1,1,-0.10179138,0.26878166,0.28741097
133,2,1,0.09286499,0.03851509,0.10053516
134,0,1,0.18746185,0.2474289,0.3104239
134,1,1,0.19286156,-0.22455215,0.2960055
134,2,1,0.32003212,0.3814392,0.49791208
134,3,1,-0.110048294,0.3060608,0.32524428
134,4,1,0.11708069,-0.41687012,0.43299952
134,5,1,-0.10598183,-0.28232193,0.30155897
134,6,1,-0.49327278,-0.17506409,0.5234171
134,7,1,0.44267082,-0.04045105,0.44451517
134,8,1,-0.07821274,0.20985031,0.22395174
134,9,1,-0.080451965,0.29857254,0.30922174
134,10,1,0.04276848,0.2712593,0.2746102
134,11,1,0.3049965,-0.7013092,0.7647597
134,12,1,-0.08053589,0.46507263,0.47199428
134,13,1,0.08370018,0.15792465,0.17873421
134,14,1,-0.12758636,-0.110126495,0.16854116
134,15,1,-0.068626404,-0.08665085,0.11053485
134,16,1,-0.06014824,0.15856934,0.16959377
134,17,1,0.17120552,-0.032417297,0.17424756
134,18,1,-0.07490921,-0.478302,0.4841324
134,19,1,0.13529015,0.11835098,0.17975089
134,20,1,-0.3026352,-0.262146,0.40038553
134,21,1,-0.24292946,0.33452988,0.41343072
135,0,1,-0.39634705,0.4779644,0.62091947
135,1,1,0.042970657,1.0707989,1.0716608
135,2,1,-0.13320541,0.052396774,0.14314015
135,3,1,0.19354248,-0.8457012,0.86756516
136,0,1,-0.27850342,-0.117723465,0.3023623
136,1,1,0.15486717,-0.42484665,0.45219302
137,0,1,-0.07677841,0.88755226,0.89086694
137,1,1,-0.07180405,-0.47885323,0.4842068
141,0,1,0.16466713,1.2226868,1.2337253
141,1,1,-0.04962921,0.6481476,0.6500449
144,0,1,-0.33594704,-0.44692612,0.55910945
144,1,1,-0.14987373,0.5251484,0.54611623
144,2,1,-0.029361725,-0.15132713,0.15414932
144,3,1,0.23426819,-0.46632767,0.521865
144,4,1,0.26839447,1.0949917,1.1274052
144,5,1,-0.15778351,-0.70047,0.7180208
144,6,1,0.28793526,-0.075553894,0.29768288
144,7,1,-0.28214836,0.061668396,0.2888091
149,0,1,0.41768646,0.90598106,0.997629
149,1,1,-0.31877518,-0.01663971,0.31920916
153,0,1,-0.15442657,-0.39736748,0.4263197
153,1,1,-0.04781723,-0.06437683,0.08019266
153,2,1,-0.37120056,-0.5101528,0.63090867
153,3,1,0.28619766,-0.20259476,0.3506476
153,4,1,-0.060775757,-0.2509575,0.25821185
153,5,1,0.43193436,0.20502472,0.47812387
154,0,1,-0.1159153,0.120918274,0.16750398
154,1,1,-0.15092659,-0.3952446,0.42308053
154,2,1,0.32824898,0.25321388,0.41456562
154,3,1,0.14441681,-0.18517494,0.2348318
154,4,1,-0.17671585,0.14270973,0.22714436
154,5,1,0.45941925,-0.23933601,0.51802295
154,6,1,-0.7346344,-0.12238693,0.7447592
156,0,1,-0.47444534,-0.7935219,0.92454064
156,1,1,0.1385727,0.27672577,0.3094827
156,2,1,0.15035439,0.0010910034,0.15035835
156,3,1,0.40403748,0.42653656,0.58752
156,4,1,0.31814575,0.27518845,0.42064878
156,5,1,-0.45734787,-0.022663116,0.45790905
158,0,1,0.35331726,-0.42453384,0.55232424
158,1,1,-0.3750286,0.31747437,0.4913618
158,2,1,0.45438194,0.13196945,0.47315842
158,3,1,-0.092292786,-0.43222046,0.44196436
158,4,1,-0.12413406,0.13463783,0.18313004
158,5,1,0.19689941,0.4138794,0.45832905
158,6,1,0.2490387,-0.29850578,0.38874924
158,7,1,-0.04159355,0.38656425,0.38879552
159,0,1,-0.05116844,0.11482239,0.12570757
159,1,1,-0.08182144,-0.03420639,0.08868385
160,0,1,0.24655724,0.13954544,0.28330797
160,1,1,-0.10981369,-0.4496994,0.4629132
160,2,1,0.15960121,0.16080475,0.22656283
